t_s,uy_mass_m
2.692999999999999864e-04,-7.987264701399828477e-08
2.693500000000000148e-04,-7.992750349789788755e-08
2.693999999999999889e-04,-7.998121966158195929e-08
2.694499999999999630e-04,-8.002932239741229286e-08
2.694999999999999913e-04,-8.007323906806528975e-08
2.695499999999999654e-04,-8.011248706882749122e-08
2.695999999999999937e-04,-8.014135693774490553e-08
2.696499999999999678e-04,-8.016458529513343043e-08
2.696999999999999962e-04,-8.017939335758564160e-08
2.697499999999999703e-04,-8.018300847935232962e-08
2.697999999999999986e-04,-8.017897841304163318e-08
2.698499999999999727e-04,-8.015975745672666656e-08
2.699000000000000010e-04,-8.014053650041163377e-08
2.699499999999999751e-04,-8.011890595363007542e-08
2.700000000000000035e-04,-8.008051242262811225e-08
2.700499999999999776e-04,-8.004013498203050777e-08
2.701000000000000059e-04,-7.999174200762885157e-08
2.701499999999999800e-04,-7.994083139809653513e-08
2.702000000000000083e-04,-7.988701076267471504e-08
2.702499999999999824e-04,-7.983223643011551432e-08
2.703000000000000107e-04,-7.977753031203266111e-08
2.703499999999999849e-04,-7.972491196544909523e-08
2.704000000000000132e-04,-7.967587061274341879e-08
2.704499999999999873e-04,-7.962955270465175973e-08
2.704999999999999614e-04,-7.959170583560834309e-08
2.705499999999999897e-04,-7.955933298151673013e-08
2.705999999999999638e-04,-7.953277446784742751e-08
2.706499999999999921e-04,-7.951819090548060166e-08
2.706999999999999663e-04,-7.950959931190774956e-08
2.707499999999999946e-04,-7.950979997972245910e-08
2.707999999999999687e-04,-7.952570069400866706e-08
2.708499999999999970e-04,-7.954548620596069796e-08
2.708999999999999711e-04,-7.956527171791263622e-08
2.709499999999999994e-04,-7.959770385204990065e-08
2.709999999999999735e-04,-7.963610228611436098e-08
2.710500000000000019e-04,-7.968171546385523675e-08
2.710999999999999760e-04,-7.972978520126454502e-08
2.711500000000000043e-04,-7.978278888545160132e-08
2.711999999999999784e-04,-7.983604214716774719e-08
2.712500000000000067e-04,-7.988990133156838127e-08
2.712999999999999808e-04,-7.994206336509670952e-08
2.713500000000000092e-04,-7.999288304940827168e-08
2.713999999999999833e-04,-8.003739264771850771e-08
2.714500000000000116e-04,-8.007784723550345387e-08
2.714999999999999857e-04,-8.011319884487699796e-08
2.715500000000000140e-04,-8.013847389746132631e-08
2.715999999999999881e-04,-8.015822947625513288e-08
2.716499999999999622e-04,-8.016928650918905190e-08
2.716999999999999906e-04,-8.016993733671781029e-08
2.717499999999999647e-04,-8.016347952674802352e-08
2.717999999999999930e-04,-8.014202866505838690e-08
2.718499999999999671e-04,-8.012057780336892233e-08
2.718999999999999954e-04,-8.009751045250821734e-08
2.719499999999999695e-04,-8.005834262477940091e-08
2.719999999999999979e-04,-8.001756403719374832e-08
2.720499999999999720e-04,-7.996960714436158333e-08
2.721000000000000003e-04,-7.991960319025525275e-08
2.721499999999999744e-04,-7.986725435487143266e-08
2.722000000000000027e-04,-7.981466801328993741e-08
2.722499999999999768e-04,-7.976212176115316214e-08
2.723000000000000051e-04,-7.971322669291125899e-08
2.723499999999999793e-04,-7.966670705664996438e-08
2.724000000000000076e-04,-7.962536327734213830e-08
2.724499999999999817e-04,-7.959043152781945073e-08
2.725000000000000100e-04,-7.955982099065210955e-08
2.725499999999999841e-04,-7.954071618428410061e-08
2.726000000000000124e-04,-7.952552286921769971e-08
2.726499999999999866e-04,-7.952237101115176922e-08
2.726999999999999607e-04,-7.952731072227570867e-08
2.727499999999999890e-04,-7.954230638153166772e-08
2.727999999999999631e-04,-7.955730204078767972e-08
2.728499999999999914e-04,-7.958610163130473768e-08
2.728999999999999655e-04,-7.961868215838268493e-08
2.729499999999999938e-04,-7.965935342218907589e-08
2.729999999999999680e-04,-7.970302756278626716e-08
2.730499999999999963e-04,-7.975231162095168928e-08
2.730999999999999704e-04,-7.980242460533109486e-08
2.731499999999999987e-04,-7.985447912459206018e-08
2.731999999999999728e-04,-7.990576165562669620e-08
2.732500000000000011e-04,-7.995569535544640142e-08
2.732999999999999752e-04,-8.000159984811865012e-08
2.733500000000000036e-04,-8.004546522518899546e-08
2.733999999999999777e-04,-8.008066311526835553e-08
2.734500000000000060e-04,-8.011161614757542000e-08
2.734999999999999801e-04,-8.013530149597409647e-08
2.735500000000000084e-04,-8.014969617216533150e-08
2.735999999999999825e-04,-8.015964093879883133e-08
2.736500000000000109e-04,-8.015619633872947104e-08
2.736999999999999850e-04,-8.014665211912310507e-08
2.737500000000000133e-04,-8.012687335991199139e-08
2.737999999999999874e-04,-8.010709460070062625e-08
2.738499999999999615e-04,-8.007192731282581483e-08
2.738999999999999898e-04,-8.003577076035806649e-08
2.739499999999999639e-04,-7.999434033937868988e-08
2.739999999999999923e-04,-7.994775632407261914e-08
2.740499999999999664e-04,-7.989909929540372778e-08
2.740999999999999947e-04,-7.984837791767646695e-08
2.741499999999999688e-04,-7.979794747828582640e-08
2.741999999999999971e-04,-7.974794313275168749e-08
2.742499999999999712e-04,-7.970173184029733948e-08
2.742999999999999996e-04,-7.965879954254504823e-08
2.743499999999999737e-04,-7.961988336502926554e-08
2.744000000000000020e-04,-7.958920508790924959e-08
2.744499999999999761e-04,-7.956268073491569560e-08
2.745000000000000044e-04,-7.954569707110369347e-08
2.745499999999999785e-04,-7.953628839347307935e-08
2.746000000000000068e-04,-7.953240293659297289e-08
2.746499999999999810e-04,-7.954677694285791586e-08
2.747000000000000093e-04,-7.956201927839672498e-08
2.747499999999999834e-04,-7.957726161393567968e-08
2.748000000000000117e-04,-7.960560303664518055e-08
2.748499999999999858e-04,-7.963936871151144844e-08
2.749000000000000141e-04,-7.967988163567402154e-08
2.749499999999999882e-04,-7.972342085976350186e-08
2.749999999999999624e-04,-7.977158667893644144e-08
2.750499999999999907e-04,-7.982048449561232300e-08
2.750999999999999648e-04,-7.987051526356208554e-08
2.751499999999999931e-04,-7.991944702314375522e-08
2.751999999999999672e-04,-7.996690091135895716e-08
2.752499999999999955e-04,-8.000966852047817457e-08
2.752999999999999696e-04,-8.004980834626693365e-08
2.753499999999999980e-04,-8.008253863026600094e-08
2.753999999999999721e-04,-8.010944068954223285e-08
2.754500000000000004e-04,-8.013108318245455098e-08
2.754999999999999745e-04,-8.014150913750990571e-08
2.755500000000000028e-04,-8.014717380951345263e-08
2.755999999999999769e-04,-8.014307086870961310e-08
2.756500000000000053e-04,-8.012923419178947895e-08
2.756999999999999794e-04,-8.010955225952381120e-08
2.757500000000000077e-04,-8.008710067494115733e-08
2.757999999999999818e-04,-8.005174388300993241e-08
2.758500000000000101e-04,-8.001638709107857514e-08
2.758999999999999842e-04,-7.997386416611598058e-08
2.759500000000000126e-04,-7.992867174210793032e-08
2.759999999999999867e-04,-7.988084208675477710e-08
2.760499999999999608e-04,-7.983193574648633691e-08
2.760999999999999891e-04,-7.978366017383628630e-08
2.761499999999999632e-04,-7.973656089778413061e-08
2.761999999999999915e-04,-7.969262053166358457e-08
2.762499999999999656e-04,-7.965326004373990338e-08
2.762999999999999940e-04,-7.961666524982393047e-08
2.763499999999999681e-04,-7.958985631779909260e-08
2.763999999999999964e-04,-7.956731478578337401e-08
2.764499999999999705e-04,-7.955236873619955441e-08
2.764999999999999988e-04,-7.954659413279670098e-08
2.765499999999999729e-04,-7.954594874703459301e-08
2.766000000000000012e-04,-7.956215657310114688e-08
2.766499999999999754e-04,-7.957836439916809781e-08
2.767000000000000037e-04,-7.959457222523488992e-08
2.767499999999999778e-04,-7.962505888635577546e-08
2.768000000000000061e-04,-7.965881679625855619e-08
2.768499999999999802e-04,-7.969974826738848027e-08
2.769000000000000085e-04,-7.974247563121917244e-08
2.769499999999999826e-04,-7.978975215340185111e-08
2.770000000000000110e-04,-7.983720735503092033e-08
2.770499999999999851e-04,-7.988523017460854056e-08
2.771000000000000134e-04,-7.993167191311103470e-08
2.771499999999999875e-04,-7.997678665166840450e-08
2.771999999999999616e-04,-8.001636563671893521e-08
2.772499999999999899e-04,-8.005294252265536402e-08
2.772999999999999641e-04,-8.008320524917737872e-08
2.773499999999999924e-04,-8.010639485617063543e-08
2.773999999999999665e-04,-8.012554680178987996e-08
2.774499999999999948e-04,-8.013272470018494787e-08
2.774999999999999689e-04,-8.013499132289892836e-08
2.775499999999999972e-04,-8.012950089151511041e-08
2.775999999999999713e-04,-8.011283668433692151e-08
2.776499999999999997e-04,-8.009257551610279440e-08
2.776999999999999738e-04,-8.006750040045382992e-08
2.777500000000000021e-04,-8.003258500984968568e-08
2.777999999999999762e-04,-7.999766961924567379e-08
2.778500000000000045e-04,-7.995461295727133298e-08
2.778999999999999786e-04,-7.991065697555556207e-08
2.779500000000000070e-04,-7.986389670706083173e-08
2.779999999999999811e-04,-7.981679763067906447e-08
2.780500000000000094e-04,-7.977068842843974665e-08
2.780999999999999835e-04,-7.972642408852333210e-08
2.781500000000000118e-04,-7.968476168946956760e-08
2.781999999999999859e-04,-7.964882639775683008e-08
